neighborhood,date,level,zone
Denver Harbor,2017-08-28 14:40:00,6, Northeast
Upper Kirby,2017-08-28 14:40:00,10, Downtown South
Shepherd Park Plaza,2017-08-28 14:40:00,5, Downtown Northwest
Independence Heights,2017-08-28 14:40:00,4, Downtown Northwest
Tomball,2017-08-28 14:40:00,2, North and West
Willow,2017-08-28 14:40:00,1, North and West
Hufsmith,2017-08-28 14:40:00,10, North and West
Downtown Houston,2017-08-28 18:20:00,6, Downtown Northwest
Kingwood,2017-08-28 18:20:00,3, Northeast
Meyerland,2017-08-28 18:20:00,1, South
River Oaks,2017-08-28 18:20:00,5, Downtown South
Midtown,2017-08-28 18:20:00,3, Downtown South
Chinatown,2017-08-28 18:20:00,10, South
Clear Lake,2017-08-28 18:20:00,1, South
Greater Third Ward,2017-08-28 18:20:00,4, Downtown South
Uptown,2017-08-28 18:20:00,7, Downtown South
Museum District,2017-08-28 18:20:00,5, Downtown South
Clear Lake City,2017-08-28 18:20:00,6, South
Memorial City,2017-08-28 18:20:00,4, Downtown Northwest
Afton Oaks,2017-08-28 18:20:00,6, Downtown South
Denver Harbor,2017-08-28 18:20:00,8, Northeast
Upper Kirby,2017-08-28 18:20:00,7, Downtown South
Shepherd Park Plaza,2017-08-28 18:20:00,6, Downtown Northwest
Independence Heights,2017-08-28 18:20:00,3, Downtown Northwest
Tomball,2017-08-28 18:20:00,3, North and West
Willow,2017-08-28 18:20:00,10, North and West
Hufsmith,2017-08-28 18:20:00,9, North and West
Downtown Houston,2017-08-28 22:00:00,4, Downtown Northwest
Kingwood,2017-08-28 22:00:00,2, Northeast
Meyerland,2017-08-28 22:00:00,7, South
River Oaks,2017-08-28 22:00:00,5, Downtown South
Midtown,2017-08-28 22:00:00,2, Downtown South
Chinatown,2017-08-28 22:00:00,2, South
Clear Lake,2017-08-28 22:00:00,1, South
Greater Third Ward,2017-08-28 22:00:00,1, Downtown South
Uptown,2017-08-28 22:00:00,7, Downtown South
Museum District,2017-08-28 22:00:00,8, Downtown South
Clear Lake City,2017-08-28 22:00:00,9, South
Memorial City,2017-08-28 22:00:00,7, Downtown Northwest
Afton Oaks,2017-08-28 22:00:00,6, Downtown South
Denver Harbor,2017-08-28 22:00:00,10, Northeast
Upper Kirby,2017-08-28 22:00:00,2, Downtown South
Shepherd Park Plaza,2017-08-28 22:00:00,9, Downtown Northwest
Independence Heights,2017-08-28 22:00:00,1, Downtown Northwest
Tomball,2017-08-28 22:00:00,7, North and West
Willow,2017-08-28 22:00:00,5, North and West
Hufsmith,2017-08-28 22:00:00,6, North and West
Downtown Houston,2017-08-29 01:40:00,10, Downtown Northwest
Kingwood,2017-08-29 01:40:00,10, Northeast
Meyerland,2017-08-29 01:40:00,7, South
River Oaks,2017-08-29 01:40:00,2, Downtown South
Midtown,2017-08-29 01:40:00,10, Downtown South
Chinatown,2017-08-29 01:40:00,10, South
Clear Lake,2017-08-29 01:40:00,6, South
Greater Third Ward,2017-08-29 01:40:00,3, Downtown South
Uptown,2017-08-29 01:40:00,6, Downtown South
Museum District,2017-08-29 01:40:00,0, Downtown South
Clear Lake City,2017-08-29 01:40:00,6, South
Memorial City,2017-08-29 01:40:00,1, Downtown Northwest
Afton Oaks,2017-08-29 01:40:00,10, Downtown South
Denver Harbor,2017-08-29 01:40:00,2, Northeast
Upper Kirby,2017-08-29 01:40:00,9, Downtown South
Shepherd Park Plaza,2017-08-29 01:40:00,5, Downtown Northwest
Independence Heights,2017-08-29 01:40:00,4, Downtown Northwest
Tomball,2017-08-29 01:40:00,0, North and West
Willow,2017-08-29 01:40:00,3, North and West
Hufsmith,2017-08-29 01:40:00,5, North and West
Downtown Houston,2017-08-29 05:20:00,6, Downtown Northwest
Kingwood,2017-08-29 05:20:00,3, Northeast
Meyerland,2017-08-29 05:20:00,5, South
River Oaks,2017-08-29 05:20:00,1, Downtown South
Midtown,2017-08-29 05:20:00,3, Downtown South
Chinatown,2017-08-29 05:20:00,5, South
Clear Lake,2017-08-29 05:20:00,7, South
Greater Third Ward,2017-08-29 05:20:00,2, Downtown South
Uptown,2017-08-29 05:20:00,8, Downtown South
Museum District,2017-08-29 05:20:00,1, Downtown South
Clear Lake City,2017-08-29 05:20:00,7, South
Memorial City,2017-08-29 05:20:00,7, Downtown Northwest
Afton Oaks,2017-08-29 05:20:00,6, Downtown South
Denver Harbor,2017-08-29 05:20:00,1, Northeast
Upper Kirby,2017-08-29 05:20:00,2, Downtown South
Shepherd Park Plaza,2017-08-29 05:20:00,7, Downtown Northwest
Independence Heights,2017-08-29 05:20:00,10, Downtown Northwest
Tomball,2017-08-29 05:20:00,10, North and West
Willow,2017-08-29 05:20:00,3, North and West
Hufsmith,2017-08-29 05:20:00,3, North and West
Downtown Houston,2017-08-29 09:00:00,6, Downtown Northwest
Kingwood,2017-08-29 09:00:00,8, Northeast
Meyerland,2017-08-29 09:00:00,5, South
River Oaks,2017-08-29 09:00:00,4, Downtown South
Midtown,2017-08-29 09:00:00,6, Downtown South
Chinatown,2017-08-29 09:00:00,4, South
Clear Lake,2017-08-29 09:00:00,4, South
Greater Third Ward,2017-08-29 09:00:00,9, Downtown South
Uptown,2017-08-29 09:00:00,8, Downtown South
Museum District,2017-08-29 09:00:00,5, Downtown South
Clear Lake City,2017-08-29 09:00:00,6, South
Memorial City,2017-08-29 09:00:00,2, Downtown Northwest
Afton Oaks,2017-08-29 09:00:00,1, Downtown South
Denver Harbor,2017-08-29 09:00:00,0, Northeast
Upper Kirby,2017-08-29 09:00:00,2, Downtown South
Shepherd Park Plaza,2017-08-29 09:00:00,1, Downtown Northwest
Independence Heights,2017-08-29 09:00:00,8, Downtown Northwest
Tomball,2017-08-29 09:00:00,4, North and West
Willow,2017-08-29 09:00:00,6, North and West
Hufsmith,2017-08-29 09:00:00,10, North and West
Downtown Houston,2017-08-29 12:40:00,1, Downtown Northwest
Kingwood,2017-08-29 12:40:00,0, Northeast
Meyerland,2017-08-29 12:40:00,7, South
River Oaks,2017-08-29 12:40:00,9, Downtown South
Midtown,2017-08-29 12:40:00,5, Downtown South
Chinatown,2017-08-29 12:40:00,7, South
Clear Lake,2017-08-29 12:40:00,7, South
Greater Third Ward,2017-08-29 12:40:00,9, Downtown South
Uptown,2017-08-29 12:40:00,9, Downtown South
Museum District,2017-08-29 12:40:00,4, Downtown South
Clear Lake City,2017-08-29 12:40:00,10, South
Memorial City,2017-08-29 12:40:00,4, Downtown Northwest
Afton Oaks,2017-08-29 12:40:00,0, Downtown South
Denver Harbor,2017-08-29 12:40:00,7, Northeast
Upper Kirby,2017-08-29 12:40:00,10, Downtown South
Shepherd Park Plaza,2017-08-29 12:40:00,1, Downtown Northwest
Independence Heights,2017-08-29 12:40:00,7, Downtown Northwest
Tomball,2017-08-29 12:40:00,6, North and West
Willow,2017-08-29 12:40:00,1, North and West
Hufsmith,2017-08-29 12:40:00,9, North and West
Downtown Houston,2017-08-29 16:20:00,1, Downtown Northwest
Kingwood,2017-08-29 16:20:00,0, Northeast
Meyerland,2017-08-29 16:20:00,0, South
River Oaks,2017-08-29 16:20:00,9, Downtown South
Midtown,2017-08-29 16:20:00,8, Downtown South
Chinatown,2017-08-29 16:20:00,6, South
Clear Lake,2017-08-29 16:20:00,6, South
Greater Third Ward,2017-08-29 16:20:00,9, Downtown South
Uptown,2017-08-29 16:20:00,8, Downtown South
Museum District,2017-08-29 16:20:00,4, Downtown South
Clear Lake City,2017-08-29 16:20:00,5, South
Memorial City,2017-08-29 16:20:00,2, Downtown Northwest
Afton Oaks,2017-08-29 16:20:00,4, Downtown South
Denver Harbor,2017-08-29 16:20:00,8, Northeast
Upper Kirby,2017-08-29 16:20:00,3, Downtown South
Shepherd Park Plaza,2017-08-29 16:20:00,2, Downtown Northwest
Independence Heights,2017-08-29 16:20:00,2, Downtown Northwest
Tomball,2017-08-29 16:20:00,6, North and West
Willow,2017-08-29 16:20:00,8, North and West
Hufsmith,2017-08-29 16:20:00,2, North and West
Downtown Houston,2017-08-29 20:00:00,7, Downtown Northwest
Kingwood,2017-08-29 20:00:00,10, Northeast
Meyerland,2017-08-29 20:00:00,0, South
River Oaks,2017-08-29 20:00:00,3, Downtown South
Midtown,2017-08-29 20:00:00,2, Downtown South
Chinatown,2017-08-29 20:00:00,9, South
Clear Lake,2017-08-29 20:00:00,3, South
Greater Third Ward,2017-08-29 20:00:00,0, Downtown South
Uptown,2017-08-29 20:00:00,7, Downtown South
Museum District,2017-08-29 20:00:00,5, Downtown South
Clear Lake City,2017-08-29 20:00:00,5, South
Memorial City,2017-08-29 20:00:00,8, Downtown Northwest
Afton Oaks,2017-08-29 20:00:00,7, Downtown South
Denver Harbor,2017-08-29 20:00:00,1, Northeast
Upper Kirby,2017-08-29 20:00:00,1, Downtown South
Shepherd Park Plaza,2017-08-29 20:00:00,6, Downtown Northwest
Independence Heights,2017-08-29 20:00:00,6, Downtown Northwest
Tomball,2017-08-29 20:00:00,10, North and West
Willow,2017-08-29 20:00:00,6, North and West
Hufsmith,2017-08-29 20:00:00,5, North and West
Downtown Houston,2017-08-29 23:40:00,6, Downtown Northwest
Kingwood,2017-08-29 23:40:00,2, Northeast
Meyerland,2017-08-29 23:40:00,0, South
River Oaks,2017-08-29 23:40:00,9, Downtown South
Midtown,2017-08-29 23:40:00,5, Downtown South
Chinatown,2017-08-29 23:40:00,2, South
Clear Lake,2017-08-29 23:40:00,3, South
Greater Third Ward,2017-08-29 23:40:00,1, Downtown South
Uptown,2017-08-29 23:40:00,0, Downtown South
Museum District,2017-08-29 23:40:00,10, Downtown South
Clear Lake City,2017-08-29 23:40:00,0, South
Memorial City,2017-08-29 23:40:00,10, Downtown Northwest
Afton Oaks,2017-08-29 23:40:00,1, Downtown South
Denver Harbor,2017-08-29 23:40:00,2, Northeast
Upper Kirby,2017-08-29 23:40:00,9, Downtown South
Shepherd Park Plaza,2017-08-29 23:40:00,4, Downtown Northwest
Independence Heights,2017-08-29 23:40:00,4, Downtown Northwest
Tomball,2017-08-29 23:40:00,5, North and West
Willow,2017-08-29 23:40:00,5, North and West
Hufsmith,2017-08-29 23:40:00,9, North and West
Downtown Houston,2017-08-30 03:20:00,8, Downtown Northwest
Kingwood,2017-08-30 03:20:00,5, Northeast
Meyerland,2017-08-30 03:20:00,2, South
River Oaks,2017-08-30 03:20:00,4, Downtown South
Midtown,2017-08-30 03:20:00,5, Downtown South
Chinatown,2017-08-30 03:20:00,0, South
Clear Lake,2017-08-30 03:20:00,10, South
Greater Third Ward,2017-08-30 03:20:00,6, Downtown South
Uptown,2017-08-30 03:20:00,10, Downtown South
Museum District,2017-08-30 03:20:00,8, Downtown South
Clear Lake City,2017-08-30 03:20:00,0, South
Memorial City,2017-08-30 03:20:00,10, Downtown Northwest
Afton Oaks,2017-08-30 03:20:00,5, Downtown South
Denver Harbor,2017-08-30 03:20:00,5, Northeast
Upper Kirby,2017-08-30 03:20:00,5, Downtown South
Shepherd Park Plaza,2017-08-30 03:20:00,7, Downtown Northwest
Independence Heights,2017-08-30 03:20:00,6, Downtown Northwest
Tomball,2017-08-30 03:20:00,2, North and West
Willow,2017-08-30 03:20:00,4, North and West
Hufsmith,2017-08-30 03:20:00,2, North and West
Downtown Houston,2017-08-30 07:00:00,8, Downtown Northwest
Kingwood,2017-08-30 07:00:00,0, Northeast
Meyerland,2017-08-30 07:00:00,5, South
River Oaks,2017-08-30 07:00:00,7, Downtown South
Midtown,2017-08-30 07:00:00,2, Downtown South
Chinatown,2017-08-30 07:00:00,7, South
Clear Lake,2017-08-30 07:00:00,2, South
Greater Third Ward,2017-08-30 07:00:00,0, Downtown South
Uptown,2017-08-30 07:00:00,8, Downtown South
Museum District,2017-08-30 07:00:00,10, Downtown South
Clear Lake City,2017-08-30 07:00:00,1, South
Memorial City,2017-08-30 07:00:00,9, Downtown Northwest
Afton Oaks,2017-08-30 07:00:00,6, Downtown South
Denver Harbor,2017-08-30 07:00:00,6, Northeast
Upper Kirby,2017-08-30 07:00:00,9, Downtown South
Shepherd Park Plaza,2017-08-30 07:00:00,3, Downtown Northwest
Independence Heights,2017-08-30 07:00:00,7, Downtown Northwest
Tomball,2017-08-30 07:00:00,1, North and West
Willow,2017-08-30 07:00:00,0, North and West
Hufsmith,2017-08-30 07:00:00,1, North and West
Downtown Houston,2017-08-30 10:40:00,1, Downtown Northwest
Kingwood,2017-08-30 10:40:00,0, Northeast
Meyerland,2017-08-30 10:40:00,3, South
River Oaks,2017-08-30 10:40:00,8, Downtown South
Midtown,2017-08-30 10:40:00,3, Downtown South
Chinatown,2017-08-30 10:40:00,5, South
Clear Lake,2017-08-30 10:40:00,4, South
Greater Third Ward,2017-08-30 10:40:00,0, Downtown South
Uptown,2017-08-30 10:40:00,10, Downtown South
Museum District,2017-08-30 10:40:00,1, Downtown South
Clear Lake City,2017-08-30 10:40:00,4, South
Memorial City,2017-08-30 10:40:00,2, Downtown Northwest
Afton Oaks,2017-08-30 10:40:00,9, Downtown South
Denver Harbor,2017-08-30 10:40:00,6, Northeast
Upper Kirby,2017-08-30 10:40:00,4, Downtown South
Shepherd Park Plaza,2017-08-30 10:40:00,0, Downtown Northwest
Independence Heights,2017-08-30 10:40:00,7, Downtown Northwest
Tomball,2017-08-30 10:40:00,9, North and West
Willow,2017-08-30 10:40:00,8, North and West
Hufsmith,2017-08-30 10:40:00,4, North and West
Downtown Houston,2017-08-30 14:20:00,0, Downtown Northwest
Kingwood,2017-08-30 14:20:00,5, Northeast
Meyerland,2017-08-30 14:20:00,0, South
River Oaks,2017-08-30 14:20:00,2, Downtown South
Midtown,2017-08-30 14:20:00,3, Downtown South
Chinatown,2017-08-30 14:20:00,3, South
Clear Lake,2017-08-30 14:20:00,6, South
Greater Third Ward,2017-08-30 14:20:00,0, Downtown South
Uptown,2017-08-30 14:20:00,7, Downtown South
Museum District,2017-08-30 14:20:00,5, Downtown South
Clear Lake City,2017-08-30 14:20:00,4, South
Memorial City,2017-08-30 14:20:00,1, Downtown Northwest
Afton Oaks,2017-08-30 14:20:00,4, Downtown South
Denver Harbor,2017-08-30 14:20:00,3, Northeast
Upper Kirby,2017-08-30 14:20:00,7, Downtown South
Shepherd Park Plaza,2017-08-30 14:20:00,8, Downtown Northwest
Independence Heights,2017-08-30 14:20:00,8, Downtown Northwest
Tomball,2017-08-30 14:20:00,5, North and West
Willow,2017-08-30 14:20:00,9, North and West
Hufsmith,2017-08-30 14:20:00,4, North and West
Downtown Houston,2017-08-30 18:00:00,2, Downtown Northwest
Kingwood,2017-08-30 18:00:00,6, Northeast
Meyerland,2017-08-30 18:00:00,1, South
River Oaks,2017-08-30 18:00:00,6, Downtown South
Midtown,2017-08-30 18:00:00,7, Downtown South
Chinatown,2017-08-30 18:00:00,4, South
Clear Lake,2017-08-30 18:00:00,0, South
Greater Third Ward,2017-08-30 18:00:00,4, Downtown South
Uptown,2017-08-30 18:00:00,0, Downtown South
Museum District,2017-08-30 18:00:00,2, Downtown South
Clear Lake City,2017-08-30 18:00:00,10, South
Memorial City,2017-08-30 18:00:00,4, Downtown Northwest
Afton Oaks,2017-08-30 18:00:00,9, Downtown South
Denver Harbor,2017-08-30 18:00:00,4, Northeast
Upper Kirby,2017-08-30 18:00:00,1, Downtown South
Shepherd Park Plaza,2017-08-30 18:00:00,2, Downtown Northwest
Independence Heights,2017-08-30 18:00:00,9, Downtown Northwest
Tomball,2017-08-30 18:00:00,7, North and West
Willow,2017-08-30 18:00:00,10, North and West
Hufsmith,2017-08-30 18:00:00,5, North and West
Downtown Houston,2017-08-30 21:40:00,10, Downtown Northwest
Kingwood,2017-08-30 21:40:00,4, Northeast
Meyerland,2017-08-30 21:40:00,4, South
River Oaks,2017-08-30 21:40:00,0, Downtown South
Midtown,2017-08-30 21:40:00,9, Downtown South
Chinatown,2017-08-30 21:40:00,8, South
Clear Lake,2017-08-30 21:40:00,6, South
Greater Third Ward,2017-08-30 21:40:00,10, Downtown South
Uptown,2017-08-30 21:40:00,8, Downtown South
Museum District,2017-08-30 21:40:00,8, Downtown South
Clear Lake City,2017-08-30 21:40:00,0, South
Memorial City,2017-08-30 21:40:00,5, Downtown Northwest
Afton Oaks,2017-08-30 21:40:00,2, Downtown South
Denver Harbor,2017-08-30 21:40:00,8, Northeast
Upper Kirby,2017-08-30 21:40:00,3, Downtown South
Shepherd Park Plaza,2017-08-30 21:40:00,2, Downtown Northwest
Independence Heights,2017-08-30 21:40:00,8, Downtown Northwest
Tomball,2017-08-30 21:40:00,5, North and West
Willow,2017-08-30 21:40:00,5, North and West
Hufsmith,2017-08-30 21:40:00,0, North and West
Downtown Houston,2017-08-31 01:20:00,9, Downtown Northwest
Kingwood,2017-08-31 01:20:00,9, Northeast
Meyerland,2017-08-31 01:20:00,10, South
River Oaks,2017-08-31 01:20:00,4, Downtown South
Midtown,2017-08-31 01:20:00,2, Downtown South
Chinatown,2017-08-31 01:20:00,9, South
Clear Lake,2017-08-31 01:20:00,7, South
Greater Third Ward,2017-08-31 01:20:00,0, Downtown South
Uptown,2017-08-31 01:20:00,5, Downtown South
Museum District,2017-08-31 01:20:00,0, Downtown South
Clear Lake City,2017-08-31 01:20:00,5, South
Memorial City,2017-08-31 01:20:00,8, Downtown Northwest
Afton Oaks,2017-08-31 01:20:00,3, Downtown South
Denver Harbor,2017-08-31 01:20:00,0, Northeast
Upper Kirby,2017-08-31 01:20:00,7, Downtown South
Shepherd Park Plaza,2017-08-31 01:20:00,8, Downtown Northwest
Independence Heights,2017-08-31 01:20:00,3, Downtown Northwest
Tomball,2017-08-31 01:20:00,8, North and West
Willow,2017-08-31 01:20:00,6, North and West
Hufsmith,2017-08-31 01:20:00,9, North and West
Downtown Houston,2017-08-31 05:00:00,7, Downtown Northwest
Kingwood,2017-08-31 05:00:00,4, Northeast
Meyerland,2017-08-31 05:00:00,0, South
River Oaks,2017-08-31 05:00:00,5, Downtown South
Midtown,2017-08-31 05:00:00,0, Downtown South
Chinatown,2017-08-31 05:00:00,3, South
